idVariavelAleatoria;idVariavelAleatoriaInterna;AttVetor;valor
1;1;grau_liberdade;0
1;2;grau_liberdade;1.1
1;3;grau_liberdade;0
1;4;grau_liberdade;0
1;5;grau_liberdade;0
1;6;grau_liberdade;15.1
1;7;grau_liberdade;17.1
1;8;grau_liberdade;27.1
1;9;grau_liberdade;1.1
1;10;grau_liberdade;0
1;11;grau_liberdade;0
1;12;grau_liberdade;0
1;13;grau_liberdade;4.1
1;14;grau_liberdade;0
1;15;grau_liberdade;267.1
2;16;grau_liberdade;0
2;17;grau_liberdade;0
2;18;grau_liberdade;0
2;19;grau_liberdade;0
2;20;grau_liberdade;1.1
2;21;grau_liberdade;4.1
2;22;grau_liberdade;6.1
2;23;grau_liberdade;0
2;24;grau_liberdade;0
2;25;grau_liberdade;0
2;26;grau_liberdade;0
2;27;grau_liberdade;0
2;124;grau_liberdade;0
3;29;grau_liberdade;0
3;30;grau_liberdade;0
3;31;grau_liberdade;0
3;32;grau_liberdade;1.1
3;33;grau_liberdade;24.1
3;34;grau_liberdade;144.1
6;37;grau_liberdade;0
6;38;grau_liberdade;2.1
6;39;grau_liberdade;0
6;40;grau_liberdade;0
6;41;grau_liberdade;1.1
6;42;grau_liberdade;0
6;44;grau_liberdade;0
6;45;grau_liberdade;39.1
6;46;grau_liberdade;120.1
6;133;grau_liberdade;3.1
5;28;grau_liberdade;158.1
5;35;grau_liberdade;0
5;36;grau_liberdade;593.1
4;51;grau_liberdade;0
4;52;grau_liberdade;0
4;53;grau_liberdade;22.1
4;54;grau_liberdade;14.1
4;55;grau_liberdade;0
4;56;grau_liberdade;0
