idVariavelAleatoria;AttMatriz;Iteradores;1;;
1;coeficiente_linear_auto_correlacao;01/2020;0.760520254879;;
1;coeficiente_linear_auto_correlacao;02/2020;0.405799350882;;
1;coeficiente_linear_auto_correlacao;03/2020;0.533404088852;;
1;coeficiente_linear_auto_correlacao;04/2020;0.510472329771;;
1;coeficiente_linear_auto_correlacao;05/2020;0.598445987507;;
1;coeficiente_linear_auto_correlacao;06/2020;0.789393243479;;
1;coeficiente_linear_auto_correlacao;07/2020;0.546470093014;;
1;coeficiente_linear_auto_correlacao;08/2020;0.695117152924;;
1;coeficiente_linear_auto_correlacao;09/2020;1.439232523829;;
1;coeficiente_linear_auto_correlacao;10/2020;0.759864757121;;
1;coeficiente_linear_auto_correlacao;11/2020;0.848013617925;;
1;coeficiente_linear_auto_correlacao;12/2020;0.920858352394;;
1;coeficiente_linear_auto_correlacao;01/2021;0.760520254879;;
1;coeficiente_linear_auto_correlacao;02/2021;0.405799350882;;
1;coeficiente_linear_auto_correlacao;03/2021;0.533404088852;;
1;coeficiente_linear_auto_correlacao;04/2021;0.510472329771;;
1;coeficiente_linear_auto_correlacao;05/2021;0.598445987507;;
1;coeficiente_linear_auto_correlacao;06/2021;0.789393243479;;
1;coeficiente_linear_auto_correlacao;07/2021;0.546470093014;;
1;coeficiente_linear_auto_correlacao;08/2021;0.695117152924;;
1;coeficiente_linear_auto_correlacao;09/2021;1.439232523829;;
1;coeficiente_linear_auto_correlacao;10/2021;0.759864757121;;
1;coeficiente_linear_auto_correlacao;11/2021;0.848013617925;;
1;coeficiente_linear_auto_correlacao;12/2021;0.920858352394;;
1;coeficiente_linear_auto_correlacao;01/2022;0.760520254879;;
1;coeficiente_linear_auto_correlacao;02/2022;0.405799350882;;
1;coeficiente_linear_auto_correlacao;03/2022;0.533404088852;;
1;coeficiente_linear_auto_correlacao;04/2022;0.510472329771;;
1;coeficiente_linear_auto_correlacao;05/2022;0.598445987507;;
1;coeficiente_linear_auto_correlacao;06/2022;0.789393243479;;
1;coeficiente_linear_auto_correlacao;07/2022;0.546470093014;;
1;coeficiente_linear_auto_correlacao;08/2022;0.695117152924;;
1;coeficiente_linear_auto_correlacao;09/2022;1.439232523829;;
1;coeficiente_linear_auto_correlacao;10/2022;0.759864757121;;
1;coeficiente_linear_auto_correlacao;11/2022;0.848013617925;;
1;coeficiente_linear_auto_correlacao;12/2022;0.920858352394;;
1;coeficiente_linear_auto_correlacao;01/2023;0.760520254879;;
1;coeficiente_linear_auto_correlacao;02/2023;0.405799350882;;
1;coeficiente_linear_auto_correlacao;03/2023;0.533404088852;;
1;coeficiente_linear_auto_correlacao;04/2023;0.510472329771;;
1;coeficiente_linear_auto_correlacao;05/2023;0.598445987507;;
1;coeficiente_linear_auto_correlacao;06/2023;0.789393243479;;
1;coeficiente_linear_auto_correlacao;07/2023;0.546470093014;;
1;coeficiente_linear_auto_correlacao;08/2023;0.695117152924;;
1;coeficiente_linear_auto_correlacao;09/2023;1.439232523829;;
1;coeficiente_linear_auto_correlacao;10/2023;0.759864757121;;
1;coeficiente_linear_auto_correlacao;11/2023;0.848013617925;;
1;coeficiente_linear_auto_correlacao;12/2023;0.920858352394;;
1;coeficiente_linear_auto_correlacao;01/2024;0.760520254879;;
1;coeficiente_linear_auto_correlacao;02/2024;0.405799350882;;
1;coeficiente_linear_auto_correlacao;03/2024;0.533404088852;;
1;coeficiente_linear_auto_correlacao;04/2024;0.510472329771;;
1;coeficiente_linear_auto_correlacao;05/2024;0.598445987507;;
1;coeficiente_linear_auto_correlacao;06/2024;0.789393243479;;
1;coeficiente_linear_auto_correlacao;07/2024;0.546470093014;;
1;coeficiente_linear_auto_correlacao;08/2024;0.695117152924;;
1;coeficiente_linear_auto_correlacao;09/2024;1.439232523829;;
1;coeficiente_linear_auto_correlacao;10/2024;0.759864757121;;
1;coeficiente_linear_auto_correlacao;11/2024;0.848013617925;;
1;coeficiente_linear_auto_correlacao;12/2024;0.920858352394;;
2;coeficiente_linear_auto_correlacao;01/2020;1;;
2;coeficiente_linear_auto_correlacao;02/2020;1;;
2;coeficiente_linear_auto_correlacao;03/2020;1;;
2;coeficiente_linear_auto_correlacao;04/2020;1;;
2;coeficiente_linear_auto_correlacao;05/2020;1;;
2;coeficiente_linear_auto_correlacao;06/2020;1;;
2;coeficiente_linear_auto_correlacao;07/2020;1;;
2;coeficiente_linear_auto_correlacao;08/2020;1;;
2;coeficiente_linear_auto_correlacao;09/2020;1;;
2;coeficiente_linear_auto_correlacao;10/2020;1;;
2;coeficiente_linear_auto_correlacao;11/2020;1;;
2;coeficiente_linear_auto_correlacao;12/2020;1;;
2;coeficiente_linear_auto_correlacao;01/2021;1;;
2;coeficiente_linear_auto_correlacao;02/2021;1;;
2;coeficiente_linear_auto_correlacao;03/2021;1;;
2;coeficiente_linear_auto_correlacao;04/2021;1;;
2;coeficiente_linear_auto_correlacao;05/2021;1;;
2;coeficiente_linear_auto_correlacao;06/2021;1;;
2;coeficiente_linear_auto_correlacao;07/2021;1;;
2;coeficiente_linear_auto_correlacao;08/2021;1;;
2;coeficiente_linear_auto_correlacao;09/2021;1;;
2;coeficiente_linear_auto_correlacao;10/2021;1;;
2;coeficiente_linear_auto_correlacao;11/2021;1;;
2;coeficiente_linear_auto_correlacao;12/2021;1;;
2;coeficiente_linear_auto_correlacao;01/2022;1;;
2;coeficiente_linear_auto_correlacao;02/2022;1;;
2;coeficiente_linear_auto_correlacao;03/2022;1;;
2;coeficiente_linear_auto_correlacao;04/2022;1;;
2;coeficiente_linear_auto_correlacao;05/2022;1;;
2;coeficiente_linear_auto_correlacao;06/2022;1;;
2;coeficiente_linear_auto_correlacao;07/2022;1;;
2;coeficiente_linear_auto_correlacao;08/2022;1;;
2;coeficiente_linear_auto_correlacao;09/2022;1;;
2;coeficiente_linear_auto_correlacao;10/2022;1;;
2;coeficiente_linear_auto_correlacao;11/2022;1;;
2;coeficiente_linear_auto_correlacao;12/2022;1;;
2;coeficiente_linear_auto_correlacao;01/2023;1;;
2;coeficiente_linear_auto_correlacao;02/2023;1;;
2;coeficiente_linear_auto_correlacao;03/2023;1;;
2;coeficiente_linear_auto_correlacao;04/2023;1;;
2;coeficiente_linear_auto_correlacao;05/2023;1;;
2;coeficiente_linear_auto_correlacao;06/2023;1;;
2;coeficiente_linear_auto_correlacao;07/2023;1;;
2;coeficiente_linear_auto_correlacao;08/2023;1;;
2;coeficiente_linear_auto_correlacao;09/2023;1;;
2;coeficiente_linear_auto_correlacao;10/2023;1;;
2;coeficiente_linear_auto_correlacao;11/2023;1;;
2;coeficiente_linear_auto_correlacao;12/2023;1;;
2;coeficiente_linear_auto_correlacao;01/2024;1;;
2;coeficiente_linear_auto_correlacao;02/2024;1;;
2;coeficiente_linear_auto_correlacao;03/2024;1;;
2;coeficiente_linear_auto_correlacao;04/2024;1;;
2;coeficiente_linear_auto_correlacao;05/2024;1;;
2;coeficiente_linear_auto_correlacao;06/2024;1;;
2;coeficiente_linear_auto_correlacao;07/2024;1;;
2;coeficiente_linear_auto_correlacao;08/2024;1;;
2;coeficiente_linear_auto_correlacao;09/2024;1;;
2;coeficiente_linear_auto_correlacao;10/2024;1;;
2;coeficiente_linear_auto_correlacao;11/2024;1;;
2;coeficiente_linear_auto_correlacao;12/2024;1;;
3;coeficiente_linear_auto_correlacao;01/2020;0.726175084906;;
3;coeficiente_linear_auto_correlacao;02/2020;0.397899150129;;
3;coeficiente_linear_auto_correlacao;03/2020;0.478290263378;;
3;coeficiente_linear_auto_correlacao;04/2020;0.450915963477;;
3;coeficiente_linear_auto_correlacao;05/2020;0.618085103652;;
3;coeficiente_linear_auto_correlacao;06/2020;0.772292453376;;
3;coeficiente_linear_auto_correlacao;07/2020;0.644732831359;;
